"sha","date","subj"
"0bc315381fe9","2017/3/6 10:23:35","zram: set physical queue limits to avoid array out of bounds accesses"
"8e19d540d107","2017/2/24 22:59:27","zram: extend zero pages to same element pages"
"a09759acaacf","2017/2/24 22:56:47","zram: remove waitqueue for IO done"
"c87d1655c295","2017/2/22 23:46:45","zram: remove obsolete sysfs attrs"
"e17354961bb5","2017/2/2 23:53:07","zram_drv: update for backing dev info changes"
"b09ab054b69b","2017/1/11 0:58:21","zram: support BDI_CAP_STABLE_WRITES"
"e7ccfc4ccb70","2017/1/11 0:58:18","zram: revalidate disk under init_lock"
"e71c3978d6f9","2016/12/13 3:25:04","Merge branch 'smp-hotplug-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip"
"5c7e9ccd91b9","2016/12/7 22:44:31","zram: restrict add/remove attributes to root only"
"1dd6c834fa4a","2016/11/26 23:13:46","zram: Convert to hotplug state machine"
"529e71e16403","2016/11/30 23:54:08","zram: fix unbalanced idr management at hot removal"
"c11f0c0b5bb9","2016/8/5 14:11:04","block/mm: make bdev_ops->rw_page() take a bool for read/write"
"abf545484d31","2016/8/4 20:23:34","mm/block: convert rw_page users to bio op use"
"0e06f5c0deee","2016/7/27 2:55:54","Merge branch 'akpm' (patches from Andrew)"
"9bc482d34605","2016/7/26 22:23:34","zram: use __GFP_MOVABLE for memory allocation"
"415403be37e2","2016/7/26 22:22:48","zram: use crypto api to check alg availability"
"ebaf9ab56d9d","2016/7/26 22:22:45","zram: switch to crypto compress API"
"2aea8493d326","2016/7/26 22:22:42","zram: rename zstrm find-release functions"
"95fe6c1a209e","2016/6/5 19:31:48","block, fs, mm, drivers: use bio set/get op accessors"
"623e47fc64f8","2016/5/21 0:00:02","zram: introduce per-device debug_stat sysfs node"
"43209ea2d17a","2016/5/20 23:59:59","zram: remove max_comp_streams internals"
"da9556a2367c","2016/5/20 23:59:51","zram: user per-cpu compression streams"
"d0d8da2dc49d","2016/5/20 23:59:48","zsmalloc: require GFP in zs_malloc()"
"17ec4cd98578","2016/1/16 0:54:48","zram: don't call idr_remove() from zram_remove()"
"3419b45039c6","2015/11/11 1:23:49","Merge branch 'for-4.4/io-poll' of git://git.kernel.dk/linux-block"
"dece16353ef4","2015/11/5 17:41:16","block: change ->make_request_fn() and users to return a queue cookie"
"1c53e0d2737f","2015/11/7 0:29:06","zram: make is_partial_io/valid_io_request/page_zero_filled return boolean"
"1237275580f3","2015/11/7 0:29:04","zram: keep the exact overcommited value in mem_used_max"
"1d5b43bfb60f","2015/11/7 0:29:01","zram: introduce comp algorithm fallback functionality"
"708649694a86","2015/9/8 22:04:58","zram: unify error reporting"
"860c707dca15","2015/9/8 22:04:38","zsmalloc: account the number of compacted pages"
"7d3f3938236b","2015/9/8 22:04:35","zsmalloc/zram: introduce zs_pool_stats api"
"1081230b748d","2015/9/2 20:10:25","Merge branch 'for-4.3/core' of git://git.kernel.dk/linux-block"
"4ce321f574a9","2015/8/14 22:35:19","zram: fix pool name truncation"
"54efd50bfd87","2015/4/24 5:37:18","block: make generic_make_request handle arbitrarily sized bios"
"4246a0b63bd8","2015/7/20 13:29:37","block: add a bi_error field to struct bio"
"2bb4cd5cc472","2015/7/14 14:15:12","block: have drivers use blk_queue_max_discard_sectors()"
"d93435c3fba4","2015/6/25 22:00:32","zram: check comp algorithm availability earlier"
"4bbacd51a683","2015/6/25 22:00:29","zram: cut trailing newline in algorithm name"
"17162f41f04a","2015/6/25 22:00:27","zram: cosmetic zram_bvec_write() cleanup"
"6566d1a32bf7","2015/6/25 22:00:24","zram: add dynamic device add/remove functionality"
"f405c445a486","2015/6/25 22:00:21","zram: close race by open overriding"
"92ff15288747","2015/6/25 22:00:19","zram: return zram device_id from zram_add()"
"b31177f2a9d5","2015/6/25 22:00:16","zram: trivial: correct flag operations comment"
"d12b63c927e0","2015/6/25 22:00:14","zram: report every added and removed device"
"c3cdb40e6634","2015/6/25 22:00:11","zram: remove max_num_devices limitation"
"522698d7cadb","2015/6/25 22:00:08","zram: reorganize code layout"
"85508ec6cbc2","2015/6/25 22:00:06","zram: use idr instead of `zram_devices' array"
"3bca3ef76941","2015/6/25 22:00:03","zram: cosmetic ZRAM_ATTR_RO code formatting tweak"
"9e65bf68a8f1","2015/6/25 21:59:55","zram: remove obsolete ZRAM_DEBUG option"
"d7ad41a1c498","2015/6/10 18:14:49","zram: clear disk io accounting when reset zram device"
"99ebbd30e364","2015/5/5 23:23:25","revert ""zram: move compact_store() to sysfs functions area"""
"201c7b72f0bf","2015/4/15 23:16:27","zram: fix error return code"
"8f7d282c717a","2015/4/15 23:16:09","zram: deprecate zram attrs sysfs nodes"
"4f2109f60881","2015/4/15 23:16:06","zram: export new 'mm_stat' sysfs attrs"
"2f6a3bed7347","2015/4/15 23:16:03","zram: export new 'io_stat' sysfs attrs"
"8811a9421b32","2015/4/15 23:15:57","zram: use generic start/end io accounting"
"c72c6160d967","2015/4/15 23:15:55","zram: move compact_store() to sysfs functions area"
"10447b60bee5","2015/4/15 23:15:52","zram: remove `num_migrated' device attr"
"4e3ba8784542","2015/4/15 23:15:36","zram: support compaction"
"2ea55a2caee0","2015/2/27 23:52:01","zram: use proper type to update max_used_pages"
"3eba0c6a56c0","2015/2/12 23:00:51","mm/zpool: add name argument to create zpool"
"ee98016010ae","2015/2/12 23:00:48","zram: remove request_queue from struct zram"
"08eee69fcf6b","2015/2/12 23:00:45","zram: remove init_lock in zram_make_request"
"2b269ce6fcbf","2015/2/12 23:00:42","zram: check bd_openers instead of bd_holders"
"a096cafc3186","2015/2/12 23:00:39","zram: rework reset and destroy path"
"ba6b17d68c8e","2015/2/12 23:00:36","zram: fix umount-reset_store-mount race condition"
"1fec117281d9","2015/2/12 23:00:33","zram: free meta table in zram_meta_free"
"b8179958327a","2015/2/12 23:00:31","zram: clean up zram_meta_alloc()"
"083914eab96f","2014/12/13 0:57:13","zram: use DEVICE_ATTR_[RW|RO|WO] to define zram sys device attribute"
"8c7f01025f7b","2014/12/13 0:56:53","zram: implement rw_page operation of zram"
"54850e73e86e","2014/12/13 0:56:50","zram: change parameter from vaild_io_request()"
"b627cff3d308","2014/12/13 0:56:47","zram: remove bio parameter from zram_bvec_rw()"
"c40651523937","2014/11/13 23:19:05","zram: avoid kunmap_atomic() of a NULL pointer"
"5a99e95b8d1c","2014/10/29 21:50:57","zram: avoid NULL pointer access in concurrent situation"
"e75437fb9322","2014/10/18 19:12:45","Merge branch 'for-3.18/drivers' of git://git.kernel.dk/linux-block"
"015254daf175","2014/10/9 22:29:57","zram: use notify_free to account all free notifications"
"461a8eee6af3","2014/10/9 22:29:55","zram: report maximum used memory"
"9ada9da9573f","2014/10/9 22:29:53","zram: zram memory size limitation"
"722cdc17232f","2014/10/9 22:29:50","zsmalloc: change return value unit of zs_get_total_size_bytes"
"b277da0a8a59","2014/10/4 16:55:32","block: disable entropy contributions for nonrot devices"
"0cf1e9d6c34d","2014/8/29 22:18:37","zram: fix incorrect stat with failed_reads"
"d2d5e762c899","2014/8/6 23:08:31","zram: replace global tb_lock with fine grain lock"
"023b409f9dac","2014/8/6 23:08:29","zram: use size_t instead of u16"
"b4c5c60920e3","2014/7/23 21:00:04","zram: avoid lockdep splat by revalidate_disk"
"2e32baea46ce","2014/7/2 22:22:36","zram: revalidate disk after capacity change"
